Case Study, Number of Tests, Original Jar, Protected Jar
commons-lang3-3.11-SNAPSHOT-jar-with-dependencies,25,25,25
tracker-server,4,4,4
google-java-format-1.10-SNAPSHOT-jar-with-dependencies,8,8,8
sootclasses-trunk,11,11,11
commafeed-jar-with-dependencies,4,4,4
webmagic-core-0.7.3-jar-with-dependencies,1,1,1
scribejava-core-6.9.1-SNAPSHOT-jar-with-dependencies,5,5,5
pushy-0.14.1-SNAPSHOT,24,24,24
jimfs-HEAD-SNAPSHOT-jar-with-dependencies,6,6,6
webcam-capture-0.3.13-SNAPSHOT-jar-with-dependencies,3,3,3
jvm-profiler-1.0.0-jar-with-dependencies,10,10,10
jsoup-1.14.1-SNAPSHOT-jar-with-dependencies,14,14,14
poi-tl-1.7.3-jar-with-dependencies,37,37,37
truth-HEAD-SNAPSHOT-jar-with-dependencies,505,505,505
pf4j-3.4.0-SNAPSHOT-jar-with-dependencies,12,12,12
logback-core-1.3.0-alpha6-SNAPSHOT-jar-with-dependencies,16,16,16
docker-maven-plugin-0.33-SNAPSHOT-jar-with-dependencies,11,11,11
avro-1.11.0-SNAPSHOT-jar-with-dependencies,97,97,97
